iter	Passed	Remaining
421	1268	835
422	1271	832
423	1274	829
424	1277	826
425	1279	823
426	1283	820
427	1285	817
428	1288	814
429	1291	811
430	1294	808
431	1297	805
432	1300	802
433	1303	799
434	1306	795
435	1309	793
436	1312	790
437	1315	787
438	1318	784
439	1321	781
440	1324	777
441	1327	774
442	1330	771
443	1333	768
444	1336	765
445	1339	762
446	1342	759
447	1345	756
448	1348	753
449	1351	750
450	1354	747
451	1357	744
452	1360	741
453	1363	738
454	1366	735
455	1369	732
456	1371	729
457	1374	726
458	1377	723
459	1380	720
460	1384	717
461	1387	714
462	1389	711
463	1393	708
464	1396	705
465	1399	702
466	1402	699
467	1405	696
468	1407	693
469	1410	690
470	1414	687
471	1417	684
472	1420	681
473	1423	678
474	1426	675
475	1428	672
476	1431	669
477	1434	666
478	1437	663
479	1440	660
480	1443	657
481	1446	654
482	1449	651
483	1452	648
484	1455	645
485	1458	642
486	1461	639
487	1464	636
488	1467	633
489	1470	630
490	1473	627
491	1476	624
492	1479	621
493	1482	618
494	1485	615
495	1488	612
496	1491	609
497	1494	606
498	1497	603
499	1500	600
500	1503	597
501	1506	594
502	1509	591
503	1512	588
504	1515	585
505	1518	582
506	1521	579
507	1524	576
508	1527	573
509	1530	570
510	1533	567
511	1536	564
512	1539	561
513	1543	558
514	1546	555
515	1549	552
516	1552	549
517	1556	546
518	1559	543
519	1562	540
520	1565	537
521	1568	534
522	1571	531
523	1574	528
524	1578	526
525	1581	523
526	1584	520
527	1587	517
528	1590	514
529	1593	511
530	1596	508
531	1599	505
532	1602	501
533	1604	498
534	1607	495
535	1611	493
536	1614	490
537	1617	486
538	1620	483
539	1623	480
540	1626	478
541	1629	474
542	1632	471
543	1635	468
544	1638	465
545	1641	462
546	1644	459
547	1647	456
548	1650	453
549	1653	450
550	1656	447
551	1659	444
552	1662	441
553	1665	438
554	1668	435
555	1671	432
556	1674	429
557	1677	426
558	1680	423
559	1683	420
560	1687	418
561	1690	415
562	1693	412
563	1696	409
564	1699	406
565	1702	403
566	1705	400
567	1709	397
568	1711	394
569	1715	391
570	1718	388
571	1721	385
572	1724	382
573	1726	379
574	1729	376
575	1732	373
576	1735	370
577	1739	367
578	1742	364
579	1745	361
580	1747	358
581	1750	354
582	1753	351
583	1756	348
584	1759	345
585	1762	342
586	1765	339
587	1769	336
588	1772	334
589	1775	331
590	1778	328
591	1781	325
592	1785	322
593	1788	319
594	1791	316
595	1794	313
596	1797	310
597	1800	307
598	1803	304
599	1806	301
600	1809	297
601	1812	294
602	1814	291
603	1818	288
604	1820	285
605	1823	282
606	1826	279
607	1829	276
608	1833	273
609	1836	270
610	1839	267
611	1842	264
612	1845	261
613	1848	258
614	1851	255
615	1854	252
616	1857	249
617	1860	246
618	1863	243
619	1867	240
620	1870	237
621	1873	234
622	1876	231
623	1879	228
624	1882	225
625	1885	222
626	1888	219
627	1891	216
628	1894	213
629	1897	210
630	1900	207
631	1903	204
632	1906	201
633	1909	198
634	1912	195
635	1914	192
636	1917	189
637	1920	186
638	1923	183
639	1926	180
640	1929	177
641	1932	174
642	1935	171
643	1938	168
644	1941	165
645	1944	162
646	1947	159
647	1949	156
648	1953	153
649	1956	150
650	1959	147
651	1962	144
652	1965	141
653	1968	138
654	1970	135
655	1973	132
656	1976	129
657	1979	126
658	1982	123
659	1986	120
660	1989	117
661	1992	114
662	1994	111
663	1997	108
664	2000	105
665	2003	102
666	2006	99
667	2009	96
668	2012	93
669	2015	90
670	2018	87
671	2021	84
672	2024	81
673	2027	78
674	2030	75
675	2033	72
676	2036	69
677	2039	66
678	2042	63
679	2045	60
680	2048	57
681	2051	54
682	2054	51
683	2057	48
684	2060	45
685	2063	42
686	2066	39
687	2069	36
688	2072	33
689	2076	30
690	2079	27
691	2082	24
692	2085	21
693	2088	18
694	2091	15
695	2094	12
696	2096	9
697	2099	6
698	2102	3
699	2105	0
