iter	RMSE
401	2331020.85
402	2330291.937
403	2328853.098
404	2327472.982
405	2327432.816
406	2327077.389
407	2325496.394
408	2324466.66
409	2323920.462
410	2321909.675
411	2320609.153
412	2320558.094
413	2318680.224
414	2317355.995
415	2315485.133
416	2314769.376
417	2314670.493
418	2313683.039
419	2312769.767
420	2311096.887
421	2309858.454
422	2308392.274
423	2307322.517
424	2306456.103
425	2306316.131
426	2305485.451
427	2303920.911
428	2303264.638
429	2302664.801
430	2300519.105
431	2300060.387
432	2298461.947
433	2297781.367
434	2296715.709
435	2295062.761
436	2293689.449
437	2292605.645
438	2290634.645
439	2289634.668
440	2288392.612
441	2287541.506
442	2286033.576
443	2285334.408
444	2284480.538
445	2283079.863
446	2281770.499
447	2280260.041
448	2279030.583
449	2278081.706
450	2276912.97
451	2275642.554
452	2274902.736
453	2274415.127
454	2273954.353
455	2272796.716
456	2271469.847
457	2269457.997
458	2268949.512
459	2268380.028
460	2266319.306
461	2266298.761
462	2264606.812
463	2263033.847
464	2261991.428
465	2260398.61
466	2259851.579
467	2259163.367
468	2258078.907
469	2257073.259
470	2256080.823
471	2255189.459
472	2254706.071
473	2253772.604
474	2253053.374
475	2253017.221
476	2251744.922
477	2250728.071
478	2248208.834
479	2247315.794
480	2245569.737
481	2243766.457
482	2242595.138
483	2241896.727
484	2241032.731
485	2240422.555
486	2239234.909
487	2238456.23
488	2237990.81
489	2237379.761
490	2235746.77
491	2233685.566
492	2233205.884
493	2231179.536
494	2229954.544
495	2228567.16
496	2227225.033
497	2225420.106
498	2224733.3
499	2223951.806
500	2222753.086
501	2222724.125
502	2221260.614
503	2220699.248
504	2219553.615
505	2218433.029
506	2217867.263
507	2216719.56
508	2216076.054
509	2214706.539
510	2213675.141
511	2212471.414
512	2211559.826
513	2211031.107
514	2209830.392
515	2209137.647
516	2208244.373
517	2208034.84
518	2207276.939
519	2206653.716
520	2205251.843
521	2204204.448
522	2203816.784
523	2203171.516
524	2202899.305
525	2202689.997
526	2201740.391
527	2201342.388
528	2200631.605
529	2198947.314
530	2198113.382
531	2197767.433
532	2196996.424
533	2195946.703
534	2195430.93
535	2194535.488
536	2194295.646
537	2192884.549
538	2191336.688
539	2190646.44
540	2189505.12
541	2189117.562
542	2188932.649
543	2188899.564
544	2187846.164
545	2187550.004
546	2186373.24
547	2185476.188
548	2184307.906
549	2182999.275
550	2181930.583
551	2181689.247
552	2181417.741
553	2180643.463
554	2179506.279
555	2178475.028
556	2178099.98
557	2176730.123
558	2176172.518
559	2174767.056
560	2174196.903
561	2173403.862
562	2172558.664
563	2172526.258
564	2171908.201
565	2171034.481
566	2170190.397
567	2169310.034
568	2168110.969
569	2167650.928
570	2166584.947
571	2165398.85
572	2164725.1
573	2163834.515
574	2163032.853
575	2162565.842
576	2161900.463
577	2161338.004
578	2160510.571
579	2160014.12
580	2158258.732
581	2157599.317
582	2157114.473
583	2155985.488
584	2155814.013
585	2153766.289
586	2152877.862
587	2151976.29
588	2151110.443
589	2150554.28
590	2150260.858
591	2148831.67
592	2147602.745
593	2146699.598
594	2145836.605
595	2145494.11
596	2144368.635
597	2142418.934
598	2141020.248
599	2140099.819
600	2139912.172
601	2139116.511
602	2138394.293
603	2137132.567
604	2135908.741
605	2135269.49
606	2134219.108
607	2133217.644
608	2132409.091
609	2131807.18
610	2130541.828
611	2129534.157
612	2128442.713
613	2127150.516
614	2125777.642
615	2124791.444
616	2123557.417
617	2122511.546
618	2122019.799
619	2120798.831
620	2120383.659
621	2118974.229
622	2118135.721
623	2117600.302
624	2116735.268
625	2116530.915
626	2115596.667
627	2115221.937
628	2114363.28
629	2113151.257
630	2112130.553
631	2111807.877
632	2111108.048
633	2110372.774
634	2109526.536
635	2107795.39
636	2106145.874
637	2105311.985
638	2104526.213
639	2103895.123
640	2103533.619
641	2103187.599
642	2102393.107
643	2101219.272
644	2100626.974
645	2099317.065
646	2098298.254
647	2098266.296
648	2097337.026
649	2097105.326
650	2096290.251
651	2095184.111
652	2094643.306
653	2094204.798
654	2093633.589
655	2092810.947
656	2092297.273
657	2090983.814
658	2090704.473
659	2089607.465
660	2088850.999
661	2088100.903
662	2086912.767
663	2085287.59
664	2084106.008
665	2083358.908
666	2082710.332
667	2081918.741
668	2081403.337
669	2080496.676
670	2079620.974
671	2079447.795
672	2078575.727
673	2078423.206
674	2078057.663
675	2077740.676
676	2077025.615
677	2076845.644
678	2076141.442
679	2074943.118
680	2074182.288
681	2072971.23
682	2072114.613
683	2071973.694
684	2071488.789
685	2071287.059
686	2070451.401
687	2069745.931
688	2069268.79
689	2069060.459
690	2068715.572
691	2068171.076
692	2066803.699
693	2066284.211
694	2065591.13
695	2064617.211
696	2064428.762
697	2064171.435
698	2063238.218
699	2062305.786
